"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tang B.; Pramanik S.; Zhao Y.; Caffo B.; Datta A.","Tang, Bohao (57221339990); Pramanik, Sandipan (57219750642); Zhao, Yi (57202332071); Caffo, Brian (35069047000); Datta, Abhirup (57202216261)","57221339990; 57219750642; 57202332071; 35069047000; 57202216261","Direct Bayesian linear regression for distribution-valued covariates","2024","Electronic Journal of Statistics","18","2","","3327","3375","48","0","10.1214/24-EJS2275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203548261&doi=10.1214%2f24-EJS2275&partnerID=40&md5=389f87a985b0f4fe6eb3acdb480e3325","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85203548261"
"Zhao Y.; Caffo B.S.; Ewen J.B.","Zhao, Yi (57202332071); Caffo, Brian S. (35069047000); Ewen, Joshua B. (14007607000)","57202332071; 35069047000; 14007607000","B-value and empirical equivalence bound: A new procedure of hypothesis testing","2022","Statistics in Medicine","41","6","","964","980","16","3","10.1002/sim.9298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122878388&doi=10.1002%2fsim.9298&partnerID=40&md5=78bfc6045b8dd1a7e17eb343e3767493","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85122878388"
"Chén O.Y.; Crainiceanu C.; Ogburn E.L.; Caffo B.S.; Wager T.D.; Lindquist M.A.","Chén, Oliver Y. (57216819715); Crainiceanu, Ciprian (6603085071); Ogburn, Elizabeth L. (14060943800); Caffo, Brian S. (35069047000); Wager, Tor D. (6603627020); Lindquist, Martin A. (7007030971)","57216819715; 6603085071; 14060943800; 35069047000; 6603627020; 7007030971","High-dimensional multivariate mediation with application to neuroimaging data","2018","Biostatistics","19","2","","121","136","15","73","10.1093/biostatistics/kxx027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044742502&doi=10.1093%2fbiostatistics%2fkxx027&partnerID=40&md5=44b7fdc1fc85f59d24b7291bf0e7d842","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85044742502"
"Bergquist T.; Loomba J.; Pfaff E.; Xia F.; Zhao Z.; Zhu Y.; Mitchell E.; Bhattacharya B.; Shetty G.; Munia T.; Delong G.; Tariq A.; Butzin-Dozier Z.; Ji Y.; Li H.; Coyle J.; Shi S.; Philips R.V.; Mertens A.; Pirracchio R.; van der Laan M.; Colford J.M., Jr.; Hubbard A.; Gao J.; Chen G.; Velingker N.; Li Z.; Wu Y.; Stein A.; Huang J.; Dai Z.; Long Q.; Naik M.; Holmes J.; Mowery D.; Wong E.; Parekh R.; Getzen E.; Hightower J.; Blase J.; Aggarwal A.; Agor J.; Al-Amery A.; Aminu O.; Anand A.; Antonescu C.; Arora M.; Asaduzzaman S.; Asmussen T.; Baghbanzadeh M.; Baker F.; Bangert B.; Bekhet L.; Caffo B.; Chang H.; Chen Z.; Chen J.; Chiang J.; Cho P.; Cockrell R.; Combs P.; Crosby C.; Dai R.; Danesharasteh A.; Yildirim E.; Demilt R.; Deng K.; Dey S.; Dhamdhere R.; Dickson A.; Dijour P.; Dinh D.; Dixon R.; Domi A.; Dutta S.; Elizondo M.; Ertem Z.; Feuerwerker S.; Fliss D.; Fowler J.; Fu S.; Gardner K.; Getty N.; Ghalwash M.; Gloster L.; Greer P.; Guan Y.; Ham C.; Hanoudi S.; Harper J.; Hendrix N.; Hershkovich L.; Hu J.; Huang Y.; Huang T.; Hur J.; Isgut M.; Ismail H.; Izmirlian G.; Jang K.; Jemiyo C.; Jeong H.; Ji X.; Jiang M.; Jiang S.; Jiang X.; Jiang Y.; Johnson A.; Analyst Z.; Kapse S.; Kartoun U.; KC D.; Fard Z.; Kosfeld T.; Krichevsky S.; Kuo M.; Larie D.; Lederer L.; Leng S.; Li H.; Li J.; Li T.; Liang X.; Liang H.; Liu F.; Liu D.; Luo G.; Madduri R.; Madhira V.; Mani S.; Mansourifard F.; Matson R.; Metsis V.; Meyer P.; Mikhailova C.; Miller D.; Milo C.; Modanwal G.; Moore R.; Morgenthaler D.; Musal R.; Nalawade V.; Narain R.; Narendrula S.; Obiri A.; Okawa S.; Okechukwu C.; Olorunnisola T.; Ossowski T.; Parekh H.; Park J.; Patel S.; Patterson J.; Paul C.; Peng L.; Perkins D.; Pokharel S.; Poplavskiy D.; Pryor Z.; Pungitore S.; Qin H.; Rababa S.; Rahman M.; Rahmani E.; Rahnavard G.; Raihan M.; Rajendran S.; Ravichandran S.; Reddy C.; Reyes A.; Roghanizad A.; Rouffa S.; Ruan X.; Saha A.; Sawant S.; Schiaffino M.; Seira D.; Sengupta S.; Shalaev R.; Shinguyen L.; Singh K.; Sinha S.; Socia D.; Stalians H.; Stavropoulos C.; Strube J.; Subramanian D.; Sun J.; Sun J.; Sun C.; Sundararajan P.; Talebi S.; Tawiah E.; Tesic J.; Thiess M.; Tian R.; Torre-Healy; Ming-Tse Tsai L.; Tyus D.; Vardhan M.; Walzer B.; Walzer J.; Wang J.; Wang L.; Wang W.; Wang J.; Wang Y.; Weatherly C.; Wu F.; Wu Y.; Yan H.; Yang Z.; Ye B.; Yin R.; Yin C.; Yoo Y.; You A.; Yu J.; Zanaj M.; Zaiman Z.; Zhang K.; Zhang X.; Zhang T.; Zhi D.; Zhong Y.; Zhou H.; Zhou A.; Zhu Y.; Zhu S.; Adams M.; Alexander C.; Amor B.; Anzalone A.; Bates B.; Beasley W.; Bennett T.; Bissell M.; Boudreau E.; Bozzette S.; Bradwell K.; Bramante C.; Brown D.; Burgoon P.; Buse J.; Callahan T.; Cato K.; Chapman S.; Chute C.; Clark J.; Clark M.; Cooper W.; Cottrell L.; Crowley K.; Deacy M.; Dillon C.; Eichmann D.; Emmett M.; Erwin-Cohen R.; Francis P.; French E.; Fuentes R.; Gabriel D.; Gagnier J.; Garbarini N.; Ge J.; Gersing K.; Girvin A.; Gordon V.; Graves A.; Guinney J.; Haendel M.; Hayanga J.W.; Hendricks B.; Hernandez W.; Hill E.; Hillegass W.; Hong S.; Housman D.; Hurley R.; Islam J.; Jawa R.; Johnson S.; Kamaleswaran R.; Kibbe W.; Koraishy F.; Kostka K.; Kurilla M.; Lee A.; Lehmann H.; Liu H.; Madlock-Brown; Sandeep Mallipattu C.; Manna A.; Mariona F.; Marti E.; Martin G.; Mathew J.; Mazzotti D.; McMurry J.; Mehta H.; Michael S.; Miller R.; Misquitta L.; Moffitt R.; Morris M.; Murray K.; Northington L.; O'Neil S.; Olex A.; Palchuk M.; Patel B.; Patel R.; Payne P.; Pincavitch J.; Portilla L.; Prior F.; Pyarajan S.; Pyles L.; Qureshi N.; Robinson P.; Rutter J.; Sadan O.; Safdar N.; Saha A.; Saltz J.; Saltz M.; Schmitt C.; Setoguchi S.; Sharafeldin N.; Sharathkumar A.; Sheikh U.; Sidky H.; Sokos G.; Southerland A.; Spratt H.; Starren J.; Subbian V.; Suver C.; Takemoto C.; Temple-O'Connor M.; Topaloglu U.; Vedula S.; Walden A.; Walters K.; Ward-Caviness C.; Wilcox A.; Wilkins K.; Williams A.; Wu C.; Zampino E.; Zhang X.; Zhu R.","Bergquist, Timothy (57194517780); Loomba, Johanna (55820147000); Pfaff, Emily (55922283700); Xia, Fangfang (15761155800); Zhao, Zixuan (57219157824); Zhu, Yitan (12787225700); Mitchell, Elliot (57203279065); Bhattacharya, Biplab (59338121400); Shetty, Gaurav (57203154739); Munia, Tamanna (59337664500); Delong, Grant (58942044400); Tariq, Adbul (59337209500); Butzin-Dozier, Zachary (36015010500); Ji, Yunwen (58613392300); Li, Haodong (57221540651); Coyle, Jeremy (36656937600); Shi, Seraphina (59337209600); Philips, Rachael V. (58613417800); Mertens, Andrew (57200410188); Pirracchio, Romain (16745004400); van der Laan, Mark (57219106427); Colford, John M. (7004130553); Hubbard, Alan (57219106524); Gao, Jifan (57225992956); Chen, Guanhua (56953708700); Velingker, Neelay (57219590994); Li, Ziyang (57261770100); Wu, Yinjun (57198500147); Stein, Adam (58113384900); Huang, Jiani (59444001500); Dai, Zongyu (57386340600); Long, Qi (35240614400); Naik, Mayur (12140829000); Holmes, John (7403240590); Mowery, Danielle (36982065300); Wong, Eric (57155743900); Parekh, Ravi (59337506700); Getzen, Emily (57218601532); Hightower, Jake (59337209700); Blase, Jennifer (59337815900); Aggarwal, Ataes (58308231900); Agor, Joseph (57193485886); Al-Amery, Amera (57872463100); Aminu, Oluwatobiloba (59337506800); Anand, Adit (57222106628); Antonescu, Corneliu (57287565400); Arora, Mehak (57213649721); Asaduzzaman, Sayed (59337816000); Asmussen, Tanner (59337664600); Baghbanzadeh, Mahdi (57213815075); Baker, Frazier (58632037300); Bangert, Bridget (59337059300); Bekhet, Laila (58130207500); Caffo, Brian (35069047000); Chang, Hao (59337357100); Chen, Zeyuan (57219178461); Chen, Jiandong (59337059400); Chiang, Jeffrey (57221248698); Cho, Peter (59337506900); Cockrell, Robert (55668829200); Combs, Parker (59337507000); Crosby, Ciara (58088069600); Dai, Ran (57192874049); Danesharasteh, Anseh (57767113100); Yildirim, Elif (58499600400); Demilt, Ryan (59337817500); Deng, Kaiwen (59338123000); Dey, Sanjoy (57199712479); Dhamdhere, Rohan (57202375643); Dickson, Andrew (52363600500); Dijour, Phoebe (59337817600); Dinh, Dong (59337060600); Dixon, Richard (59338123100); Domi, Albi (57223409971); Dutta, Souradeep (57539523600); Elizondo, Mirna (57224640400); Ertem, Zeynep (57148421900); Feuerwerker, Solomon (57160354300); Fliss, Danica (58119548100); Fowler, Jennifer (59337210600); Fu, Sunyang (57204524255); Gardner, Kelly (59337817700); Getty, Neil (57203549797); Ghalwash, Mohamed (54415736300); Gloster, Logan (57219948528); Greer, Phil (7004605887); Guan, Yuanfang (16301203500); Ham, Colby (57219784009); Hanoudi, Samer (57194173828); Harper, Jeremy (57348898500); Hendrix, Nathaniel (57198432015); Hershkovich, Leeor (57216751765); Hu, Junjie (59337060700); Huang, Yu (59337968900); Huang, Tongtong (59338123300); Hur, Junguk (59337817900); Isgut, Monica (57194205970); Ismail, Hamid (59337818000); Izmirlian, Grant (6603507227); Jang, Kuk (59337665600); Jemiyo, Christianah (58803788300); Jeong, Hayoung (58643927300); Ji, Xiayan (59337969100); Jiang, Ming (57220646698); Jiang, Sihang (57223136963); Jiang, Xiaoqian (59337210700); Jiang, Yuye (59337210800); Johnson, Akin (59337210900); Analyst, Zach (59337818100); Kapse, Saarthak (57219791202); Kartoun, Uri (15135961200); KC, Dukka (56749107800); Fard, Zahra (58784274700); Kosfeld, Tim (57220120235); Krichevsky, Spencer (57193507798); Kuo, Mike (59337818200); Larie, Dale (57217425805); Lederer, Lauren (58697543400); Leng, Shan (59337508900); Li, Hongyang (57203857004); Li, Jianfu (57214731196); Li, Tiantian (57253474900); Liang, Xinwen (59338123500); Liang, Hengyue (59337509100); Liu, Feifan (8970846700); Liu, Daniel (59337061100); Luo, Gang (7401536289); Madduri, Ravi (6505672275); Madhira, Vithal (57225047315); Mani, Shivali (59337211000); Mansourifard, Farzaneh (57209231559); Matson, Robert (58155365900); Metsis, Vangelis (25923561200); Meyer, Pablo (17135725500); Mikhailova, Catherine (59337061200); Miller, Dante (59337818400); Milo, Christopher (59337969200); Modanwal, Gourav (59168966100); Moore, Ronald (59337665700); Morgenthaler, David (59337211100); Musal, Rasim (36174359900); Nalawade, Vinit (57204214076); Narain, Rohan (59337509200); Narendrula, Saideep (58031553300); Obiri, Alena (59337969300); Okawa, Satoshi (59337509300); Okechukwu, Chima (59337211200); Olorunnisola, Toluwanimi (58173508900); Ossowski, Tim (59337818500); Parekh, Harsh (59169156600); Park, Jean (59337665800); Patel, Saaya (57992931200); Patterson, Jason (59337509400); Paul, Chetan (59337665900); Peng, Le (59337211300); Perkins, Diana (59337509500); Pokharel, Suresh (57765832200); Poplavskiy, Dmytro (57212021747); Pryor, Zach (59338123600); Pungitore, Sarah (57223296184); Qin, Hong (59337509600); Rababa, Salahaldeen (57216899642); Rahman, Mahbubur (57217464359); Rahmani, Elior (56204888100); Rahnavard, Gholamali (35079232700); Raihan, Md (59337061300); Rajendran, Suraj (58067970900); Ravichandran, Sarangan (41361758800); Reddy, Chandan (59337358400); Reyes, Abel (59337666000); Roghanizad, Ali (57195346424); Rouffa, Sean (59337818600); Ruan, Xiaoyang (59337061400); Saha, Arpita (57650094900); Sawant, Sahil (59338123700); Schiaffino, Melody (57190687814); Seira, Diego (58055372000); Sengupta, Saurav (57215329715); Shalaev, Ruslan (59337211500); Shinguyen, Linh (59338123800); Singh, Karnika (56422921600); Sinha, Soumya (59338123900); Socia, Damien (57938015600); Stalians, Halen (59337818700); Stavropoulos, Charalambos (59318058300); Strube, Jan (59432787300); Subramanian, Devika (7005980414); Sun, Jiehuan (59337666100); Sun, Ju (59338124000); Sun, Chengkun (59337061500); Sundararajan, Prathic (58067812400); Talebi, Salmonn (57219597977); Tawiah, Edward (58022258900); Tesic, Jelena (59503213300); Thiess, Mikaela (59337509900); Tian, Raymond (59338124100); Torre-Healy; Ming-Tse Tsai, Luke (59337358500); Tyus, David (57220482059); Vardhan, Madhurima (59338123400); Walzer, Benjamin (59337211600); Walzer, Jacob (59337211700); Wang, Junda (59337358600); Wang, Lu (59338124200); Wang, Will (57234997700); Wang, Jonathan (57219783906); Wang, Yisen (59337061700); Weatherly, Chad (59337969400); Wu, Fanyou (59337969500); Wu, Yifeng (59338124300); Yan, Hao (59338124400); Yang, Zhichao (59337666200); Ye, Biao (59337510100); Yin, Rui (59337510200); Yin, Changyu (59338124500); Yoo, Yun (59130625000); You, Albert (59337666300); Yu, June (59337818800); Zanaj, Martin (59337061800); Zaiman, Zachary (57224826717); Zhang, Kai (59337666400); Zhang, Xiaoyi (59337211800); Zhang, Tianmai (59337969600); Zhi, Degui (57211105610); Zhong, Yishan (59337211900); Zhou, Huixue (59337666500); Zhou, Andrea (57904233400); Zhu, Yuanda (57211216027); Zhu, Sophie (59337510300); Adams, Meredith (24821550700); Alexander, Caleb (18533787500); Amor, Benjamin (57222112744); Anzalone, Alfred (57226382842); Bates, Benjamin (57212958901); Beasley, Will (7006968716); Bennett, Tellen (7202878300); Bissell, Mark (57222111293); Boudreau, Eilis (7003427894); Bozzette, Samuel (7006272487); Bradwell, Katie (55851006000); Bramante, Carolyn (18233650400); Brown, Don (57202998030); Burgoon, Penny (58167035100); Buse, John (59240659600); Callahan, Tiffany (57192690777); Cato, Kenrick (35071035400); Chapman, Scott (36765172400); Chute, Christopher (57049028900); Clark, Jaylyn (57733181000); Clark, Marshall (57212517206); Cooper, Will (59269809600); Cottrell, Lesley (57206348433); Crowley, Karen (57905039800); Deacy, Mariam (57810591600); Dillon, Christopher (57905237200); Eichmann, David (57810488900); Emmett, Mary (57904235200); Erwin-Cohen, Rebecca (6507064217); Francis, Patricia (57222409761); French, Evan (57226013694); Fuentes, Rafael (57318310800); Gabriel, Davera (36975473900); Gagnier, Joel (6603182789); Garbarini, Nicole (57811436800); Ge, Jin (57191755339); Gersing, Kenneth (6507560433); Girvin, Andrew (57212404996); Gordon, Valery (57904834700); Graves, Alexis (57222410114); Guinney, Justin (57209788542); Haendel, Melissa (57619638300); Hayanga, J.W. (56354600700); Hendricks, Brian (57189017887); Hernandez, Wenndy (57811219600); Hill, Elaine (58311391400); Hillegass, William (6603945760); Hong, Stephanie (57222114732); Housman, Dan (57904233700); Hurley, Robert (7103107450); Islam, Jessica (26032107000); Jawa, Randeep (6508350749); Johnson, Steve (57129499600); Kamaleswaran, Rishi (59115876500); Kibbe, Warren (57203774524); Koraishy, Farrukh (57983106600); Kostka, Kristin (57213197465); Kurilla, Michael (7004754976); Lee, Adam (57205249159); Lehmann, Harold (7402884460); Liu, Hongfang (7409753328); Madlock-Brown; Sandeep Mallipattu, Charisse (59337212000); Manna, Amin (57222113778); Mariona, Federico (6603777164); Marti, Emily (57905237500); Martin, Greg (57193170248); Mathew, Jomol (7201462717); Mazzotti, Diego (26534605100); McMurry, Julie (8308311600); Mehta, Hemalkumar (43561492400); Michael, Sam (23097974700); Miller, Robert (57217665666); Misquitta, Leonie (58167469900); Moffitt, Richard (15843966100); Morris, Michele (59040916200); Murray, Kimberly (57822825900); Northington, Lavance (57904022900); O'Neil, Shawn (57811646400); Olex, Amy (16307969900); Palchuk, Matvey (15056785100); Patel, Brijesh (36114757600); Patel, Rena (55472433400); Payne, Philip (58331044200); Pincavitch, Jami (57904638700); Portilla, Lili (35111725500); Prior, Fred (7004715742); Pyarajan, Saiju (6506021919); Pyles, Lee (59283372200); Qureshi, Nabeel (57207776117); Robinson, Peter (7403719646); Rutter, Joni (7006540348); Sadan, Ofer (14525356800); Safdar, Nasia (6701821138); Saha, Amit (57209262440); Saltz, Joel (57445889200); Saltz, Mary (57193216004); Schmitt, Clare (57903816600); Setoguchi, Soko (10144067900); Sharafeldin, Noha (56868675400); Sharathkumar, Anjali (20735546800); Sheikh, Usman (34267792700); Sidky, Hythem (57345956700); Sokos, George (6504035668); Southerland, Andrew (58686750900); Spratt, Heidi (59489430700); Starren, Justin (59297378100); Subbian, Vignesh (55346447500); Suver, Christine (24367502200); Takemoto, Cliff (6701732992); Temple-O'Connor, Meredith (57810371900); Topaloglu, Umit (24478069800); Vedula, Satyanarayana (57811436900); Walden, Anita (16308434500); Walters, Kellie (57222410078); Ward-Caviness, Cavin (57222585375); Wilcox, Adam (7102335792); Wilkins, Ken (26656358800); Williams, Andrew (57225966673); Wu, Chunlei (21735573700); Zampino, Elizabeth (57215321550); Zhang, Xiaohan (57223012755); Zhu, Richard (57211715891)","57194517780; 55820147000; 55922283700; 15761155800; 57219157824; 12787225700; 57203279065; 59338121400; 57203154739; 59337664500; 58942044400; 59337209500; 36015010500; 58613392300; 57221540651; 36656937600; 59337209600; 58613417800; 57200410188; 16745004400; 57219106427; 7004130553; 57219106524; 57225992956; 56953708700; 57219590994; 57261770100; 57198500147; 58113384900; 59444001500; 57386340600; 35240614400; 12140829000; 7403240590; 36982065300; 57155743900; 59337506700; 57218601532; 59337209700; 59337815900; 58308231900; 57193485886; 57872463100; 59337506800; 57222106628; 57287565400; 57213649721; 59337816000; 59337664600; 57213815075; 58632037300; 59337059300; 58130207500; 35069047000; 59337357100; 57219178461; 59337059400; 57221248698; 59337506900; 55668829200; 59337507000; 58088069600; 57192874049; 57767113100; 58499600400; 59337817500; 59338123000; 57199712479; 57202375643; 52363600500; 59337817600; 59337060600; 59338123100; 57223409971; 57539523600; 57224640400; 57148421900; 57160354300; 58119548100; 59337210600; 57204524255; 59337817700; 57203549797; 54415736300; 57219948528; 7004605887; 16301203500; 57219784009; 57194173828; 57348898500; 57198432015; 57216751765; 59337060700; 59337968900; 59338123300; 59337817900; 57194205970; 59337818000; 6603507227; 59337665600; 58803788300; 58643927300; 59337969100; 57220646698; 57223136963; 59337210700; 59337210800; 59337210900; 59337818100; 57219791202; 15135961200; 56749107800; 58784274700; 57220120235; 57193507798; 59337818200; 57217425805; 58697543400; 59337508900; 57203857004; 57214731196; 57253474900; 59338123500; 59337509100; 8970846700; 59337061100; 7401536289; 6505672275; 57225047315; 59337211000; 57209231559; 58155365900; 25923561200; 17135725500; 59337061200; 59337818400; 59337969200; 59168966100; 59337665700; 59337211100; 36174359900; 57204214076; 59337509200; 58031553300; 59337969300; 59337509300; 59337211200; 58173508900; 59337818500; 59169156600; 59337665800; 57992931200; 59337509400; 59337665900; 59337211300; 59337509500; 57765832200; 57212021747; 59338123600; 57223296184; 59337509600; 57216899642; 57217464359; 56204888100; 35079232700; 59337061300; 58067970900; 41361758800; 59337358400; 59337666000; 57195346424; 59337818600; 59337061400; 57650094900; 59338123700; 57190687814; 58055372000; 57215329715; 59337211500; 59338123800; 56422921600; 59338123900; 57938015600; 59337818700; 59318058300; 59432787300; 7005980414; 59337666100; 59338124000; 59337061500; 58067812400; 57219597977; 58022258900; 59503213300; 59337509900; 59338124100; 59337358500; 57220482059; 59338123400; 59337211600; 59337211700; 59337358600; 59338124200; 57234997700; 57219783906; 59337061700; 59337969400; 59337969500; 59338124300; 59338124400; 59337666200; 59337510100; 59337510200; 59338124500; 59130625000; 59337666300; 59337818800; 59337061800; 57224826717; 59337666400; 59337211800; 59337969600; 57211105610; 59337211900; 59337666500; 57904233400; 57211216027; 59337510300; 24821550700; 18533787500; 57222112744; 57226382842; 57212958901; 7006968716; 7202878300; 57222111293; 7003427894; 7006272487; 55851006000; 18233650400; 57202998030; 58167035100; 59240659600; 57192690777; 35071035400; 36765172400; 57049028900; 57733181000; 57212517206; 59269809600; 57206348433; 57905039800; 57810591600; 57905237200; 57810488900; 57904235200; 6507064217; 57222409761; 57226013694; 57318310800; 36975473900; 6603182789; 57811436800; 57191755339; 6507560433; 57212404996; 57904834700; 57222410114; 57209788542; 57619638300; 56354600700; 57189017887; 57811219600; 58311391400; 6603945760; 57222114732; 57904233700; 7103107450; 26032107000; 6508350749; 57129499600; 59115876500; 57203774524; 57983106600; 57213197465; 7004754976; 57205249159; 7402884460; 7409753328; 59337212000; 57222113778; 6603777164; 57905237500; 57193170248; 7201462717; 26534605100; 8308311600; 43561492400; 23097974700; 57217665666; 58167469900; 15843966100; 59040916200; 57822825900; 57904022900; 57811646400; 16307969900; 15056785100; 36114757600; 55472433400; 58331044200; 57904638700; 35111725500; 7004715742; 6506021919; 59283372200; 57207776117; 7403719646; 7006540348; 14525356800; 6701821138; 57209262440; 57445889200; 57193216004; 57903816600; 10144067900; 56868675400; 20735546800; 34267792700; 57345956700; 6504035668; 58686750900; 59489430700; 59297378100; 55346447500; 24367502200; 6701732992; 57810371900; 24478069800; 57811436900; 16308434500; 57222410078; 57222585375; 7102335792; 26656358800; 57225966673; 21735573700; 57215321550; 57223012755; 57211715891","Crowd-sourced machine learning prediction of long COVID using data from the National COVID Cohort Collaborative","2024","eBioMedicine","108","","105333","","","","0","10.1016/j.ebiom.2024.105333","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204559803&doi=10.1016%2fj.ebiom.2024.105333&partnerID=40&md5=ec5d511b2e81b33cb5f0574ba2f14a4f","Article","Final","","Scopus","2-s2.0-85204559803"
"Jalilianhasanpour R.; Chen H.; Caffo B.; Johnson P.; Beheshtian E.; Yousem D.M.","Jalilianhasanpour, Rozita (55814587600); Chen, Huan (57219804412); Caffo, Brian (35069047000); Johnson, Pamela (35461661500); Beheshtian, Elham (57204441866); Yousem, David M. (7005911220)","55814587600; 57219804412; 35069047000; 35461661500; 57204441866; 7005911220","Are Women Disadvantaged in Academic Radiology?","2020","Academic Radiology","27","12","","1760","1766","6","12","10.1016/j.acra.2020.09.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095579794&doi=10.1016%2fj.acra.2020.09.019&partnerID=40&md5=ef73532feab167f0585b5f438f0cbd68","Article","Final","","Scopus","2-s2.0-85095579794"
"Wang B.; Caffo B.S.; Luo X.; Liu C.-F.; Faria A.V.; Miller M.I.; Zhao Y.","Wang, Bingkai (57208720329); Caffo, Brian S. (35069047000); Luo, Xi (56639732500); Liu, Chin-Fu (57204952235); Faria, Andreia V. (35478593200); Miller, Michael I. (35425199300); Zhao, Yi (57202332071)","57208720329; 35069047000; 56639732500; 57204952235; 35478593200; 35425199300; 57202332071","Regularized regression on compositional trees with application to MRI analysis","2022","Journal of the Royal Statistical Society. Series C: Applied Statistics","71","3","","541","561","20","0","10.1111/rssc.12545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126697930&doi=10.1111%2frssc.12545&partnerID=40&md5=97d759046cb5e2990d800c54173164d6","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85126697930"
"Levine M.A.; Chen H.; Wodka E.L.; Caffo B.S.; Ewen J.B.","Levine, Michael A. (59272878600); Chen, Huan (57219524107); Wodka, Ericka L. (14632846000); Caffo, Brian S. (35069047000); Ewen, Joshua B. (14007607000)","59272878600; 57219524107; 14632846000; 35069047000; 14007607000","Autism and Hierarchical Models of Intelligence","2023","Journal of Autism and Developmental Disorders","","","","","","","2","10.1007/s10803-023-05984-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153757412&doi=10.1007%2fs10803-023-05984-x&partnerID=40&md5=21eb0e4520affa7bb48ececf887c9631","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-85153757412"
"Breining B.L.; Faria A.V.; Caffo B.; Meier E.L.; Sheppard S.M.; Sebastian R.; Tippett D.C.; Hillis A.E.","Breining, Bonnie L. (56401203400); Faria, Andreia V. (35478593200); Caffo, Brian (35069047000); Meier, Erin L. (56711675900); Sheppard, Shannon M. (56706949500); Sebastian, Rajani (43061369500); Tippett, Donna C. (6701637595); Hillis, Argye E. (7004956247)","56401203400; 35478593200; 35069047000; 56711675900; 56706949500; 43061369500; 6701637595; 7004956247","Neural regions underlying object and action naming: complementary evidence from acute stroke and primary progressive aphasia","2022","Aphasiology","36","6","","732","760","28","19","10.1080/02687038.2021.1907291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106044637&doi=10.1080%2f02687038.2021.1907291&partnerID=40&md5=d1eb5b2e1aa89de7ec27e406cbf89e9f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106044637"
"Crasta J.E.; Raja A.E.; Caffo B.S.; Hluchan C.M.; Suskauer S.J.","Crasta, Jewel E. (56392835000); Raja, Altamash E. (57223929152); Caffo, Brian S. (35069047000); Hluchan, Christine M. (57211666825); Suskauer, Stacy J. (7801643293)","56392835000; 57223929152; 35069047000; 57211666825; 7801643293","The Effect of Age and Competition Level on Subtle Motor Performance in Adolescents Medically Cleared Postconcussion: Preliminary Findings","2021","American Journal of Physical Medicine and Rehabilitation","100","6","","563","569","6","4","10.1097/PHM.0000000000001589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106464150&doi=10.1097%2fPHM.0000000000001589&partnerID=40&md5=2fa95ffa323c515cbe506e95027a54dd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106464150"
"Zhao Y.; Wang B.; Liu C.-F.; Faria A.V.; Miller M.I.; Caffo B.S.; Luo X.","Zhao, Yi (57202332071); Wang, Bingkai (57208720329); Liu, Chin-Fu (57204952235); Faria, Andreia V. (35478593200); Miller, Michael I. (35425199300); Caffo, Brian S. (35069047000); Luo, Xi (56639732500)","57202332071; 57208720329; 57204952235; 35478593200; 35425199300; 35069047000; 56639732500","Identifying brain hierarchical structures associated with Alzheimer's disease using a regularized regression method with tree predictors","2023","Biometrics","79","3","","2333","2345","12","0","10.1111/biom.13775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141385902&doi=10.1111%2fbiom.13775&partnerID=40&md5=6fbad365616dea2841820f9f59f1b05c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85141385902"
