Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Huang, Q., Tang, B., Romero, J.C., Yang, Y., Elsayed, S.K., Pahapale, G., Lee, T.-J., Pantoja, I.E.M., Han, F., Berlinicke, C., Xiang, T., Solazzo, M., Hartung, T., Qin, Z., Caffo, B.S., Smirnova, L., Gracias, D.H.","57206683147;57846680100;57201298431;57846235900;57846009800;57211977831;57846236000;57871712300;57846009900;26535546900;57845785600;57847115100;7005429459;31367553500;35069047000;55694387200;6701384299;","Shell microelectrode arrays (MEAs) for brain organoids",2022,"Science Advances","8","33","eabq5031","","",,1,"10.1126/sciadv.abq5031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136045593&doi=10.1126%2fsciadv.abq5031&partnerID=40&md5=e898cbcd832e0918ecb11c4b03258017",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85136045593
"Caffo, B.S., D'Asaro, F.A., Garcez, A., Raffinetti, E.","35069047000;55903529100;6603397393;36601260100;","Editorial: Explainable artificial intelligence models and methods in finance and healthcare",2022,"Frontiers in Artificial Intelligence","5",,"970246","","",,,"10.3389/frai.2022.970246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137017187&doi=10.3389%2ffrai.2022.970246&partnerID=40&md5=c2fbb4eeb43692c16c2fcda157407867",Editorial,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85137017187
"Wang, B., Caffo, B.S., Luo, X., Liu, C.-F., Faria, A.V., Miller, M.I., Zhao, Y.","57208720329;35069047000;56639732500;57204952235;35478593200;35425199300;57202332071;","Regularized regression on compositional trees with application to MRI analysis",2022,"Journal of the Royal Statistical Society. Series C: Applied Statistics","71","3",,"541","561",,,"10.1111/rssc.12545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126697930&doi=10.1111%2frssc.12545&partnerID=40&md5=97d759046cb5e2990d800c54173164d6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85126697930
"Wan, B., Caffo, B., Vedula, S.S.","57696399100;35069047000;41361963800;","A Unified Framework on Generalizability of Clinical Prediction Models",2022,"Frontiers in Artificial Intelligence","5",,"872720","","",,1,"10.3389/frai.2022.872720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130235255&doi=10.3389%2ffrai.2022.872720&partnerID=40&md5=2c1e529b5a4a1c38a058e727932a1b78",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85130235255
"Berardi, G., Frey-Law, L., Sluka, K.A., Bayman, E.O., Coffey, C.S., Ecklund, D., Vance, C.G.T., Dailey, D.L., Burns, J., Buvanendran, A., McCarthy, R.J., Jacobs, J., Zhou, X.J., Wixson, R., Balach, T., Brummett, C.M., Clauw, D., Colquhoun, D., Harte, S.E., Harris, R.E., Williams, D.A., Chang, A.C., Waljee, J., Fisch, K.M., Jepsen, K., Laurent, L.C., Olivier, M., Langefeld, C.D., Howard, T.D., Fiehn, O., Jacobs, J.M., Dakup, P., Qian, W.-J., Swensen, A.C., Lokshin, A., Lindquist, M., Caffo, B.S., Crainiceanu, C., Zeger, S., Kahn, A., Wager, T., Taub, M., Ford, J., Sutherland, S.P., Wandner, L.D.","57222068877;6505807552;7005255439;16315278200;7102070962;21634296700;10045536700;55899250200;7403681202;6602953346;7202095413;57203438711;57217208793;7004197951;54789452100;13805119000;7006096267;57557235300;8752003800;26221232000;8085418400;57667903000;14122647700;26024227800;7004821942;57206331082;7101741130;7004078855;57613546000;7003325967;7403557009;57192556380;57731246200;57202670789;26643612000;7007030971;35069047000;6603085071;7006338489;57732502300;6603627020;36835617000;57213633644;57732502400;54881737400;","Multi-Site Observational Study to Assess Biomarkers for Susceptibility or Resilience to Chronic Pain: The Acute to Chronic Pain Signatures (A2CPS) Study Protocol",2022,"Frontiers in Medicine","9",,"849214","","",,,"10.3389/fmed.2022.849214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131542034&doi=10.3389%2ffmed.2022.849214&partnerID=40&md5=14d37cc5dd193299f217335167571132",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85131542034
"Zhao, Y., Caffo, B.S., Ewen, J.B.","57202332071;35069047000;14007607000;","B-value and empirical equivalence bound: A new procedure of hypothesis testing",2022,"Statistics in Medicine","41","6",,"964","980",,,"10.1002/sim.9298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122878388&doi=10.1002%2fsim.9298&partnerID=40&md5=78bfc6045b8dd1a7e17eb343e3767493",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85122878388
"Sheppard, S.M., Meier, E.L., Kim, K.T., Breining, B.L., Keator, L.M., Tang, B., Caffo, B.S., Hillis, A.E.","56706949500;56711675900;57202026091;56401203400;57207941181;57390876500;35069047000;7004956247;","Neural correlates of syntactic comprehension: A longitudinal study",2022,"Brain and Language","225",,"105068","","",,,"10.1016/j.bandl.2021.105068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121980423&doi=10.1016%2fj.bandl.2021.105068&partnerID=40&md5=7ea7754e4e5bb9f23c5e2bc88029958c",Article,"Final","",Scopus,2-s2.0-85121980423
"Tang, B., Zhao, Y., Venkataraman, A., Tsapkini, K., Lindquist, M.A., Pekar, J., Caffo, B.","57221339990;57202332071;24778923300;6602810995;7007030971;7003771238;35069047000;","Differences in functional connectivity distribution after transcranial direct-current stimulation: A connectivity density point of view",2022,"Human Brain Mapping",,,,"","",,,"10.1002/hbm.26112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142036674&doi=10.1002%2fhbm.26112&partnerID=40&md5=12eee67d66fb7f8b344097baa4cd0fd7",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85142036674
"Zhao, Y., Wang, B., Liu, C.-F., Faria, A.V., Miller, M.I., Caffo, B.S., Luo, X.","57202332071;57208720329;57204952235;35478593200;35425199300;35069047000;56639732500;","Identifying brain hierarchical structures associated with Alzheimer's disease using a regularized regression method with tree predictors",2022,"Biometrics",,,,"","",,,"10.1111/biom.13775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141385902&doi=10.1111%2fbiom.13775&partnerID=40&md5=6fbad365616dea2841820f9f59f1b05c",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85141385902
"Wang, Z., Ficek, B.N., Webster, K.T., Herrmann, O., Frangakis, C.E., Desmond, J.E., Onyike, C.U., Caffo, B., Hillis, A.E., Tsapkini, K.","57202333724;56394402900;8734051000;57221555039;7003829132;7005255323;6602691382;35069047000;7004956247;6602810995;","Specificity in Generalization Effects of Transcranial Direct Current Stimulation Over the Left Inferior Frontal Gyrus in Primary Progressive Aphasia",2022,"Neuromodulation",,,,"","",,,"10.1016/j.neurom.2022.09.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141329881&doi=10.1016%2fj.neurom.2022.09.004&partnerID=40&md5=1192790f148fac7eca170a5fdc517fa4",Article,"Article in Press","",Scopus,2-s2.0-85141329881
